feature,precision,recall,f1,category
occupation,0.7096774193548387,0.205607476635514,0.3188405797101449,Craft-repair
occupation,0.5833333333333334,0.1794871794871795,0.2745098039215686,Protective-serv
occupation,0.3,0.15789473684210525,0.20689655172413793,Handlers-cleaners
occupation,0.7222222222222222,0.3333333333333333,0.45614035087719296,?
occupation,0.6153846153846154,0.42105263157894735,0.5,Farming-fishing
occupation,1.0,1.0,1.0,Priv-house-serv
occupation,1.0,0.0,0.0,Armed-Forces
relationship,0.5263157894736842,0.3389830508474576,0.41237113402061853,Not-in-family
relationship,0.8357348703170029,0.24328859060402686,0.37686809616634187,Husband
relationship,0.72,0.3673469387755102,0.4864864864864865,Unmarried
relationship,0.18518518518518517,0.3333333333333333,0.23809523809523808,Own-child
relationship,0.4444444444444444,0.36363636363636365,0.39999999999999997,Other-relative
relationship,0.8333333333333334,0.23178807947019867,0.36269430051813467,Wife
race,0.7377690802348337,0.26017943409247757,0.3846938775510204,White
race,0.7407407407407407,0.24390243902439024,0.36697247706422015,Black
race,0.7222222222222222,0.23636363636363636,0.3561643835616438,Asian-Pac-Islander
race,0.3333333333333333,0.25,0.28571428571428575,Other
race,0.2,0.2,0.20000000000000004,Amer-Indian-Eskimo
sex,0.7802690582959642,0.25796886582653816,0.3877437325905292,Male
sex,0.5423728813559322,0.2601626016260163,0.3516483516483517,Female
native-country,0.7350096711798839,0.2592087312414734,0.38325769036812907,United-States
native-country,0.0,0.0,1.0,Mexico
native-country,0.7272727272727273,0.2962962962962963,0.42105263157894735,?
native-country,1.0,1.0,1.0,Guatemala
native-country,1.0,0.2,0.33333333333333337,Germany
native-country,0.0,0.0,1.0,Vietnam
native-country,1.0,0.3333333333333333,0.5,Jamaica
native-country,1.0,1.0,1.0,El-Salvador
native-country,1.0,0.6666666666666666,0.8,Japan
native-country,0.5,0.3333333333333333,0.4,Canada
native-country,1.0,0.3076923076923077,0.47058823529411764,India
native-country,0.5,0.3333333333333333,0.4,Puerto-Rico
native-country,1.0,0.0,0.0,Taiwan
native-country,1.0,1.0,1.0,Peru
native-country,1.0,0.1111111111111111,0.19999999999999998,England
native-country,1.0,1.0,1.0,Hungary
native-country,1.0,0.0,0.0,Cuba
native-country,0.5,1.0,0.6666666666666666,Trinadad&Tobago
native-country,0.6666666666666666,0.3333333333333333,0.4444444444444444,South
native-country,1.0,0.0,0.0,France
native-country,0.5,0.5,0.5,Dominican-Republic
native-country,0.6666666666666666,0.5,0.5714285714285715,China
native-country,1.0,1.0,1.0,Thailand
native-country,1.0,1.0,1.0,Scotland
native-country,1.0,0.0,0.0,Italy
native-country,0.0,0.0,1.0,Greece
native-country,1.0,0.125,0.2222222222222222,Philippines
native-country,1.0,0.25,0.4,Iran
native-country,1.0,0.0,0.0,Hong
native-country,0.0,0.0,1.0,Poland
native-country,1.0,1.0,1.0,Haiti
native-country,1.0,0.0,0.0,Nicaragua
native-country,1.0,1.0,1.0,Outlying-US(Guam-USVI-etc)
native-country,1.0,0.0,0.0,Laos
native-country,1.0,1.0,1.0,Portugal
native-country,1.0,0.0,0.0,Yugoslavia
native-country,1.0,1.0,1.0,Honduras
native-country,1.0,1.0,1.0,Ireland
native-country,0.0,1.0,0.0,Columbia
native-country,1.0,0.0,0.0,Cambodia
native-country,1.0,1.0,1.0,Ecuador
